day,cbg,susceptible,infectious,recovered
32,180290805001,705,0,1
32,171179567002,1416,0,1
32,420770062042,650,0,1
32,61070023035,1171,0,1
32,160659503021,1726,1,1
32,371970505021,1720,0,1
32,170318031001,1782,0,1
32,320030024032,811,0,1
32,60371863012,947,0,1
32,131530201091,5321,0,1
32,220710063001,645,0,1
32,120270104041,1473,1,0
32,390610240021,2077,1,0
32,60570012063,2249,1,0
32,80310036012,720,1,0
32,360850170122,1659,1,0
32,120990002091,2073,1,0
32,490111251022,2786,1,0
32,211239601024,1052,1,0
32,320310010101,1940,1,0
32,191290401003,497,1,0
32,400198925003,3273,1,0
32,180071001004,691,1,0
32,311090031022,2476,1,0
32,211259706004,647,1,0
32,170230601005,653,1,0
32,361031103004,1270,1,0
32,490050013001,2342,1,0
32,180290802023,2480,1,0
32,371830524071,2267,1,0
32,160519603002,840,1,0
32,210670039152,2512,1,0
32,120860161002,3461,1,0
32,390479264002,1728,1,0
32,60670093141,2490,1,0
32,320030029663,677,1,0
32,490490101131,2865,1,0
32,390998126034,2278,1,0
32,470930062021,2130,1,0
32,60190044091,1259,1,0
32,420893011013,1849,1,0
32,120570133223,1432,1,0
32,211239601025,999,1,0
32,481130078011,1167,1,0
32,391199112001,1460,1,0
32,60371434002,2596,1,0
32,390610243011,701,1,0
32,490351014003,2387,1,0
32,420990302011,1235,1,0
32,461030109032,2026,1,0
32,360850132031,1484,1,0
32,320030007003,563,1,0
32,481130165212,3271,1,0
32,371970505021,1719,1,1
32,170316407001,963,1,0
32,181730307042,2746,1,0
33,160659503021,1726,0,2
33,120810020133,10375,0,2
33,390998125004,1329,0,1
33,490111255022,2350,0,1
33,320030003012,359,0,1
33,181730307052,2879,0,1
33,212319201003,803,1,0
33,210219304001,1344,0,1
33,61070010031,9592,1,1
33,390170111101,2454,0,1
33,320310024091,4735,0,1
33,201730100042,3137,0,1
33,420710118051,1319,0,1
33,490111251032,2470,0,1
33,420110117022,2413,0,1
33,80410039022,12440,0,1
33,360850291031,1170,0,1
33,120860002123,1779,0,1
33,211170668002,3081,0,1
33,320030067001,425,2,9
33,60570008024,2724,0,1
33,220710106001,941,1,0
33,220710117002,866,0,1
33,420912007072,1769,0,1
33,61070022041,3986,0,1
33,371970501023,1810,0,1
33,530330279006,1674,1,0
33,120860067132,1754,1,0
33,291574703001,1490,1,0
33,170938901011,17647,1,0
33,212179204003,1616,1,0
33,60371112042,1737,1,0
33,480850316583,1071,1,0
33,80010093221,2819,2,0
33,311530102064,1208,1,0
33,490359800001,999,1,0
33,290079502001,777,1,0
33,484817411001,842,1,0
33,60190072011,1819,1,0
33,490490101044,3559,1,0
33,360870101013,2285,1,0
33,360610145004,809,1,0
33,211619601002,1038,1,0
33,471630436003,1574,1,0
33,60379203391,7419,1,0
33,270531261001,2775,1,0
33,180279545003,1592,1,0
33,291892164003,1086,1,0
33,210290211022,2753,1,0
33,420893001012,2641,1,0
33,60610219012,1863,1,0
33,60190028002,499,1,0
33,490490102184,2290,1,0
33,390490001201,831,1,0
33,320030067001,424,3,9
33,340230018052,1416,1,0
33,240054101003,2226,1,0
33,420950159022,1268,1,0
33,201730095091,3821,1,0
33,421039508023,1104,1,0
33,461030110041,5223,2,0
33,340010014001,1210,1,0
33,291574705001,1202,1,0
33,181730307022,2932,1,0
33,482511301001,1670,1,0
33,371970501011,2684,1,0
33,311090013011,1410,1,0
33,170318391002,2744,1,0
33,420770092001,1523,1,0
33,80310041061,13569,1,0
33,490050005014,1329,1,0
33,400198930005,955,1,0
33,180071003002,684,1,0
33,551332037024,1325,1,0
33,420076007005,2391,1,0
33,60470005051,2073,1,0
33,120570133221,1628,1,0
33,320079514012,1650,1,0
33,250250302001,1677,1,0
34,530270002004,957,1,0
34,530539400031,3638,0,1
34,420893003043,731,0,1
34,60670094073,4654,1,0
34,60770047043,1494,0,1
34,210819203006,1557,1,0
34,211510105001,1884,0,1
34,120110105041,2907,0,1
34,150070402042,2650,0,1
34,290318804003,3103,0,1
34,60710018031,3262,0,1
34,371719310031,1621,0,1
34,170999617011,2585,0,1
34,490039606022,945,0,1
34,210290204002,2540,0,1
34,60373021022,1413,0,1
34,311530105015,1927,0,1
34,320030067001,424,2,10
34,170898524014,2250,0,1
34,450450033041,4314,0,1
34,211239601011,1810,0,1
34,220150111083,2890,0,1
34,60371864032,1723,0,1
34,180510504021,2221,1,1
34,484391132101,2724,0,1
34,80010090012,2406,0,1
34,310550074613,1265,1,0
34,60830011021,1238,1,0
34,490351138032,4838,1,0
34,181630002013,1479,1,0
34,420879606001,2378,1,0
34,320030051052,2203,1,0
34,181630010003,2084,1,0
34,61070023035,1170,1,1
34,481210217331,1456,1,0
34,390490069213,1091,1,0
34,60670070162,3128,1,0
34,120710104091,6112,1,0
34,360850075002,1351,1,0
34,482015222012,2323,1,0
34,391650316004,1073,1,0
34,490111253052,1541,1,0
34,290318801002,1195,1,0
34,420912005051,1603,1,0
34,311530106272,2143,1,0
34,211739201002,1335,2,0
34,480717104013,1337,1,0
34,180510501001,1427,1,0
34,490490101092,4873,2,0
34,40134226232,3404,1,0
34,180510504021,2220,2,1
34,80010092022,1439,1,0
34,320310010112,1982,1,0
34,311259661001,556,1,0
34,180571101003,7707,1,0
34,490572020001,1719,1,0
34,391290214012,2024,1,0
34,60670093231,3602,1,0
34,80410045031,7057,1,0
34,160079502001,590,1,0
34,390610235211,1270,1,0
34,460930204006,2548,1,0
34,360610101001,1372,1,0
34,371939604006,1391,1,0
34,170938901011,17646,2,0
34,60133270005,1671,1,0
34,483970401011,4017,1,0
34,170318051081,3175,1,0
34,271630710181,9361,1,0
34,181050005012,2021,1,0
34,210290202022,2205,1,0
34,421070028002,525,1,0
34,340373710003,1977,1,0
34,311090036091,2499,1,0
34,80310083862,2667,1,0
34,490050003004,3832,1,0
34,420034592011,1650,1,0
34,390490074942,2287,1,0
35,420430245033,1363,0,1
35,470039504013,2702,0,1
35,191290401004,1134,0,1
35,400850942002,2237,1,1
35,490351129212,1016,0,1
35,370670026032,1335,0,1
35,171030006003,1153,1,0
35,171030009001,1045,0,1
35,311090037141,4254,0,1
35,211110103111,2561,1,0
35,210670024001,1582,0,1
35,410670307001,556,0,1
35,120330012013,972,0,1
35,371939610023,984,0,1
35,180839552005,1175,0,1
35,360595209003,837,0,1
35,450450030132,4024,0,1
35,460079410002,816,0,1
35,490111271004,1716,0,1
35,220150104002,592,0,2
35,180290802024,2374,0,1
35,90091545004,1160,0,1
35,61070031001,791,0,1
35,170314804004,475,0,1
35,481410103411,27970,1,0
35,40190043291,11304,0,1
35,160199705011,8665,1,0
35,160659505002,1799,0,1
